time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2024-11-06,200679.94254389592,284987.6710815695,2548.61501456844,0.0,0.0,0.0
2024-11-07,186629.2576508897,294927.73605457944,6222.465015161904,0.0,0.0,0.0
2024-11-08,160067.72509772723,308966.52820830315,19023.149908766143,0.0,0.0,0.0
2024-11-09,135608.0196652388,314388.2338665621,38126.8675815452,93.10752668780742,0.0,0.0
2024-11-10,115876.84681017244,307701.13838767196,62820.457951257595,1539.8409967664425,0.0,0.0
2024-11-11,104085.59222209593,285509.1207801241,98574.16661110896,47.34902670491477,0.0,0.0
2024-11-12,91147.14333329961,280194.9094046783,116874.17590205591,0.0,0.0,0.0
2024-11-13,68826.00474190459,279023.56500000576,140162.63971702615,204.01918109737284,0.0,0.0
2024-11-14,40659.68346296117,272145.59264666913,172407.05509754858,0.0,0.0,0.0
2024-11-15,30036.307961917315,257504.140869423,197182.35046344408,0.0,0.0,0.0
2024-11-16,28927.047948047875,232081.91698285035,227207.2637091357,0.0,0.0,0.0
2024-11-17,29634.303902688298,204588.2356418735,253993.6890954721,0.0,0.0,0.0
2024-11-18,33232.045162978524,190266.79629260313,264717.38718445227,0.0,0.0,0.0
2024-11-19,39639.91031382085,165214.51991184073,283361.7984143723,0.0,0.0,0.0
2024-11-20,43130.50325445981,137405.23713204407,307680.48825353,0.0,0.0,0.0
2024-11-21,47588.577677214926,98720.27127446228,341907.37968835665,0.0,0.0,0.0
2024-11-22,53630.07083624672,79102.34013341513,355483.817670372,0.0,0.0,0.0
2024-11-23,52245.05005276755,67546.4240303498,368424.75455691654,0.0,0.0,0.0
2024-11-24,44535.002169096646,71124.10175992484,372557.1247110124,0.0,0.0,0.0
2024-11-25,43147.03456300665,66506.08023586529,378563.11384116195,0.0,0.0,0.0
2024-11-26,41178.40047308889,64036.01975191293,383001.8084150321,0.0,0.0,0.0
2024-11-27,39344.56588408335,55809.69434420242,393061.9684117482,0.0,0.0,0.0
2024-11-28,35723.47410077632,55469.59034096388,392978.9096578037,4044.254540489962,0.0,0.0
2024-11-29,31963.54141787551,59104.75077899342,385381.4995167744,11766.436926390625,0.0,0.0
2024-11-30,28147.271742817946,62056.72587737473,381814.9591510418,16197.27186879943,0.0,0.0
2024-12-01,22171.506490649117,65767.12843606995,381829.0950481555,18448.49866515934,0.0,0.0
2024-12-02,18386.72366393672,63594.5942732153,361010.26554602565,45224.64515685625,0.0,0.0
2024-12-03,15571.233889437168,63641.28145241824,341920.0499757632,67083.66332241532,0.0,0.0
2024-12-04,11916.678408747694,63995.098483651884,336022.2565791781,76282.19516845627,0.0,0.0
2024-12-05,7449.764994926152,71024.59275615626,317909.3223485481,91832.54854040344,0.0,0.0
2024-12-06,7399.062310802417,72259.1428596469,302569.74470864533,105988.27876093923,0.0,0.0
2024-12-07,7399.062310802417,72615.40555324337,309519.8881154765,98681.87266051158,0.0,0.0
2024-12-08,7246.954258431209,74166.48318302551,313466.3135092793,93336.47768929791,0.0,0.0
2024-12-09,7246.954258431209,80268.06634579002,304478.2280197996,96222.98001601314,0.0,0.0
2024-12-10,7246.954258431209,87757.72712213856,292954.9818638287,100256.56539563544,0.0,0.0
2024-12-11,7347.575050478391,93702.47209058734,273729.3221024704,113436.85939649778,0.0,0.0
2024-12-12,7447.80309406513,97149.10693729312,256704.3534630515,126914.96514562413,0.0,0.0
2024-12-13,7447.80309406513,97903.09831065114,253742.69533881667,129122.63189650097,0.0,0.0
2024-12-14,7447.80309406513,94523.85599396046,255359.92284320723,130884.64670880108,0.0,0.0
2024-12-15,7246.954258431209,91514.61496378276,238221.90237098213,151232.75704683783,0.0,0.0
2024-12-16,7246.954258431209,93953.86264637398,245685.664854831,141329.7468803977,0.0,0.0
2024-12-17,7246.954258431209,90899.81162074284,237207.94463562762,152861.51812523225,0.0,0.0
2024-12-18,7246.954258431209,90694.43563280633,235715.22843400645,154559.61031478993,0.0,0.0
2024-12-19,7246.954258431209,92550.69357252463,242120.7121880941,146297.86862098397,0.0,0.0
